Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
未作成テキスト,アイテム２６０,未作成テキスト,Life Drain,キュウケツ,Drains HP from one foe.,未作成テキスト,未作成テキスト,未作成テキスト
Hot Spots!: Sendai,アイテム２６１,"A magazine with thrilling
info about Sendai hot spots.
Increases Showtime gauge.",Spirit Drain,キュウマ,Drains SP from one foe.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２６２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２６３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２６４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Caffè Latte,アイテム２６５,"A caffè latte filled with
milk.
Restores 30 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Honey Toast,アイテム２６６,"Sweet toast with honey.
Restores 20 HP to all allies.",Megido,メギド,"Medium Almighty dmg to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２６７,未作成テキスト,Megidola,メギドラ,"Heavy Almighty dmg to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Gyutan Ice Cream,アイテム２６８,"A popular treat best eaten
once per year.
Restores 30 HP to one ally.",Megidolaon,メギドラオン,"Severe Almighty dmg to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２６９,未作成テキスト,Morning Star,アケノミョウジョウ,"Colossal Almighty dmg to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Bamboo Monaka,アイテム２７０,"Made with carefully selected
ingredients. Restores 30 HP
and cures Fear for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Bamboo Yokan,アイテム２７１,"Bean paste with a soothing
sweetness. Restores 30 HP
and cures Rage for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Gyutan Burger,アイテム２７５,"Limited edition gyutan patty.
Restores 20 HP to all allies.
Applies Matarukaja effect.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２７９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Jingisucaramel,アイテム２８０,"Caramel that evokes
the scent of lamb meat.
Restores 10 SP to one ally.",Dazzler,メクラマシ,"High chance of Dizzy to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２８１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２８２,未作成テキスト,Evil Touch,デビルタッチ,"High chance of Fear to an
area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２８３,未作成テキスト,Makajama,マカジャマ,"High chance of Forget to an
area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２８４,未作成テキスト,Dormina,ドルミナー,"High chance of Sleep to an
area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２８５,未作成テキスト,Taunt,チョウハツ,"High chance of Rage to an
area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Sushi Box,アイテム２８６,"A top-quality sushi box.
Restores 40 HP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Grainy Sea Urchin,アイテム２８７,"A dish for urchin lovers. You
can never stop at just one.
Restores 10 SP to one ally.",Marin Karin,マリンカリン,"High chance of Brainwash
to an area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Ika-somen,アイテム２８８,"Its freshness gives it
a wonderful chewy texture.
Restores 50 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２８９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２９０,未作成テキスト,Nocturnal Flash,ヤミヨノセンコウ,"High chance of Dizzy to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２９１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２９２,未作成テキスト,Evil Smile,デビルスマイル,"High chance of Fear to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２９３,未作成テキスト,Makajamaon,マカジャマオン,"High chance of Forget to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２９４,未作成テキスト,Lullaby,スリープソング,"High chance of Sleep to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Cod-Liver Oil Candy,アイテム２９５,"A supplement chock-full
of vitamins.
Restores 30 SP to one ally.",Wage War,センセンフコク,"High chance of Rage to a
wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Suppon Drink,アイテム２９６,"A healthy mixture made
with suppon extract.
Restores 100 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Steam Eye Patch,アイテム２９７,"The steam invigorates the
body and soul. Cures Sleep/
Rage/Brainwash for one ally.",Brain Jack,ブレインジャック,"High chance of Brainwash
to a wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
Soulful Jelly,アイテム２９８,"Healthy food to revitalize
the soul. Greatly increases
Showtime gauge.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム２９９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３００,未作成テキスト,Dia,ディア,"Restores low amount of HP
to one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０１,未作成テキスト,Diarama,ディアラマ,"Restores medium amount of HP
to one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０２,未作成テキスト,Diarahan,ディアラハン,"Fully restores HP
to one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０３,未作成テキスト,Media,メディア,"Restores low amount of HP
to all allies.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０４,未作成テキスト,Mediarama,メディラマ,"Restores medium amount of HP
to all allies.",未作成テキスト,未作成テキスト,未作成テキスト
Masquerade Parfait,アイテム３０５,"A miraculous mixture of
delicious ingredients.
Restores 30 SP to one ally.",Mediarahan,メディアラハン,"Fully restores HP
to all allies.",未作成テキスト,未作成テキスト,未作成テキスト
Reunion Parfait,アイテム３０６,"A parfait full of treasured
memories. Revives one
fallen ally to full HP.",Recarm,リカーム,"Revives one fallen ally
to 50% HP.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０７,未作成テキスト,Samarecarm,サマリカーム,"Revives one fallen ally
to full HP.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３０９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３１０,未作成テキスト,Amrita Drop,アムリタドロップ,"Cures all non-special ailments
for one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３１１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３１２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３１３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３１４,未作成テキスト,Amrita Shower,アムリタシャワー,"Cures all non-special ailments
for all allies.",未作成テキスト,未作成テキスト,未作成テキスト
Shikuwasa Soda,アイテム３１５,"Has a pleasant sourness.
Restores 10 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Guava Juice,アイテム３１６,"Enriched with vitamins.
Restores 5 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Packed Yakisoba,アイテム３１７,"Transports your tastebuds
to a festival.
Restores 20 HP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Whole Watermelon,アイテム３１８,"A whole watermelon,
just for you.
Restores 100 HP to one ally.",Salvation,メシアライザー,"Fully restores HP and cures all
non-special ailments for all allies.
Revives all fallen allies to full HP.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３１９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２０,未作成テキスト,Tarukaja,タルカジャ,"Temporarily increases
Attack for one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２１,未作成テキスト,Rakukaja,ラクカジャ,"Temporarily increases Defense
and prevents attacks from being
interrupted for one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２２,未作成テキスト,Sukukaja,スクカジャ,"Temporarily increases
Critical/auto-evade rate
for one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２３,未作成テキスト,Heat Riser,ヒートライザ,"Temporarily increases ATK/
DEF and Critical/auto-evade
rate for one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２４,未作成テキスト,Matarukaja,マハタルカジャ,"Temporarily increases
Attack for all allies.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２５,未作成テキスト,Marakukaja,マハラクカジャ,"Temporarily increases Defense
and prevents attacks from being
interrupted for all allies.",未作成テキスト,未作成テキスト,未作成テキスト
Hot Spots!: Okinawa,アイテム３２６,"A magazine with info about
Okinawa hot spots.
Increases Showtime gauge.",Masukukaja,マハスクカジャ,"Temporarily increases
Critical/auto-evade rate
for all allies.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Chinsuko,アイテム３２８,"The simple sweetness
relaxes the heart.
Restores 20 HP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３２９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Sata Andagi,アイテム３３０,"Crispy on the outside,
spongy on the inside.
Restores 50 HP to one ally.",Charge,チャージ,"Next Physical attack deals
over double the damage.",未作成テキスト,未作成テキスト,未作成テキスト
Blue Chestnut Tart,アイテム３３１,"You almost feel bad eating a
work of art like this.
Restores 40 HP to all allies.",Concentrate,コンセントレイト,"Next magical attack deals
over double the damage.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３３２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３３３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３３４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Uchina Bento,アイテム３３５,"A tasty Okinawa bento.
Restores 10 HP to one ally.
Applies Rakukaja effect.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３３６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Pork/Egg Onigiri,アイテム３３７,"A filling onigiri.
Restores 30 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３３８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３３９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
4 Piece Takoyaki,アイテム３４０,"Old-school takoyaki made
with a secret recipe.
Restores 20 HP to all allies.",Tarunda,タルンダ,"Temporarily decreases Attack
for an area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
6 Piece Takoyaki,アイテム３４１,"Six pieces of old-school
takoyaki to keep you full.
Restores 30 HP to all allies.",Rakunda,ラクンダ,"Temporarily decreases Defense
for an area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４２,未作成テキスト,Sukunda,スクンダ,"Temporarily decreases
Critical/auto-evade rate
for an area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４３,未作成テキスト,Debilitate,ランダマイザ,"Temporarily decreases ATK/
DEF and Critical/auto-evade
rate for an area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４４,未作成テキスト,Matarunda,マハタルンダ,"Temporarily decreases Attack
for a wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４５,未作成テキスト,Marakunda,マハラクンダ,"Temporarily decreases Defense
for a wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４６,未作成テキスト,Masukunda,マハスクンダ,"Temporarily decreases
Critical/auto-evade rate
for a wide area of foes.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３４９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５０,未作成テキスト,Dekunda,デクンダ,"Removes all stat debuffs
for all allies.",未作成テキスト,未作成テキスト,未作成テキスト
Beef Katsu,アイテム３５１,"Masterfully fried.
Restores 30 HP and cures
Forget for one ally.",Dekaja,デカジャ,"Removes all stat buffs
for all foes.",未作成テキスト,未作成テキスト,未作成テキスト
Red Ginger Katsu,アイテム３５２,"The pickled ginger is the star
of this dish. Restores 30 HP
and cures Dizzy for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Negiyaki,アイテム３５６,"Has a deeply nostalgic taste.
Restores 80 HP to all allies.",Tetraja,テトラジャ,"A barrier that nullifies an insta-kill
once for one ally.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３５９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６０,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Hot Spots!: Osaka,アイテム３６５,"A magazine with thrilling
info about Osaka hot spots.
Increases Showtime gauge.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
773's Pork Bun,アイテム３６６,"An irresistibly delicious pork
bun that makes a great gift.
Restores 40 HP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Morozeff's Flan,アイテム３６７,"The taste is unusually
luxurious.
Restores 100 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３６９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７０,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Grilled Crab Miso,アイテム３７６,"Luxurious-tasting crab miso.
Restores 80 HP and removes
stat debuffs for all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３７９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Grilled Corn,アイテム３８０,"Baked corn with a delicious
smell.
Restores 40 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Boiled Corn,アイテム３８１,"Delicious, mouth-wateringly
sweet corn.
Restores 30 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Wow! Grilled Corn,アイテム３８２,"Unbelievably delicious.
Makes a great gift.
Restores 20 HP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３８３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３８４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Okapi Guaraná,アイテム３８５,"Forest giraffes love the
taste of guaraná.
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Brotinoporin,アイテム３８６,"How can something this
sweet have zero calories?
Restores 20 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Bear Caution Sticker,アイテム３８７,"A classic gift.
Slightly decreases Jail's
security level.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Lavender Potpourri,アイテム３８８,"The sweet lavender scent
soothes the heart.
Cures Rage/Fear for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３８９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９０,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Strawberry Gelato,アイテム３９５,"A popular milk gelato with a
pleasant strawberry flavor.
Restores 30 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Banana Gelato,アイテム３９６,"A popular milk gelato with
a reliable banana flavor.
Restores 40 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム３９９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Skull Keychain,アイテム４００,"The dim glow this keychain
emits is eerily peaceful.
Might sell for some money.",Resist Phys,ブツリタイセイ,"Increases resistance to Phys
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
Expired Perfume,アイテム４０１,"Expired perfume with a
pungent scent. Increases
Jail's security level.",Null Phys,ブツリムコウ,Nullifies Phys attacks.,未作成テキスト,未作成テキスト,未作成テキスト
Mossy Mothman,アイテム４０２,"A Mothman figure with
incredible detail in the fur.
Might sell for some money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４０３,未作成テキスト,Drain Phys,ブツリキュウシュウ,"Absorbs damage from
Phys attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４０４,未作成テキスト,Resist Fire,カエンタイセイ,"Increases resistance to Fire
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
Yomoginotsuki,アイテム４０５,"An exquisite dessert of
custard-filled castella.
Restores 20 HP to all allies.",Null Fire,カエンムコウ,Nullifies Fire attacks.,未作成テキスト,未作成テキスト,未作成テキスト
Walnut Yubeshi,アイテム４０６,"The walnut brings harmony
to the complex flavors.
Restores 50 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４０７,未作成テキスト,Drain Fire,カエンキュウシュウ,"Absorbs damage from
Fire attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４０８,未作成テキスト,Resist Ice,ヒョウケツタイセイ,"Increases resistance to Ice
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４０９,未作成テキスト,Null Ice,ヒョウケツムコウ,Nullifies Ice attacks.,未作成テキスト,未作成テキスト,未作成テキスト
Zunda Dumpling,アイテム４１０,"Brings out the flavor of
zunda for you to enjoy.
Restores 30 HP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Sesame Dumpling,アイテム４１１,"A sesame flavored
dumpling.
Restores 10 HP to one ally.",Drain Ice,ヒョウケツキュウシュウ,"Absorbs damage from
Ice attacks.",未作成テキスト,未作成テキスト,未作成テキスト
Sasa-Kamaboko,アイテム４１２,"Fresh and delicious fish
cakes.
Restores 30% HP to one ally.",Resist Wind,シップウタイセイ,"Increases resistance to Wind
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４１３,未作成テキスト,Null Wind,シップウムコウ,Nullifies Wind attacks.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４１４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Blowfish Sashimi,アイテム４１５,"Luxurious blowfish sashimi.
Restores 50% HP to one
ally.",Drain Wind,シップウキュウシュウ,"Absorbs damage from
Wind attacks.",未作成テキスト,未作成テキスト,未作成テキスト
Blowfish Skin Snack,アイテム４１６,"Fried blowfish skin.
It's crispy yet chewy.
Applies Marakukaja effect.",Resist Elec,デンゲキタイセイ,"Increases resistance to Elec
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４１７,未作成テキスト,Null Elec,デンゲキムコウ,Nullifies Elec attacks.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４１８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４１９,未作成テキスト,Drain Elec,デンゲキキュウシュウ,"Absorbs damage from
Elec attacks.",未作成テキスト,未作成テキスト,未作成テキスト
Starry Vanilla Roll,アイテム４２０,"Glimmers like a shooting
star.
Restores 100 HP to one ally.",Resist Psy,ネンドウタイセイ,"Increases resistance to Psy
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
